,Last Update,Confirmed,Deaths,Recovered,Currency,SharePrice(USD)
0,2020-01-22 12:00:00,1.0,0.0,0.0,71.11,319.23
1,2020-01-23 12:00:00,1.0,0.0,0.0,71.331,318.31
2,2020-01-24 12:00:00,2.0,0.0,0.0,71.326,317.23
3,2020-01-25 12:00:00,2.0,0.0,0.0,71.329,316.52
4,2020-01-26 23:00:00,5.0,0.0,0.0,71.451,308.95
5,2020-01-27 20:30:00,5.0,0.0,0.0,71.0,317.69
6,2020-01-28 18:00:00,1.0,0.0,0.0,71.2,317.69
7,2020-01-28 23:00:00,4.0,0.0,0.0,71.31,324.34
8,2020-01-29 21:00:00,5.0,0.0,0.0,71.569,323.87
9,2020-01-30 21:30:00,6.0,0.0,0.0,71.497,309.51
